qid,group,instruction_type,run,step,instruction_used,n_facts,n_supported,n_not_supported,n_contradicted,init_score,factscore
2hop__635544_110949,content,elaborate,0,1,"Elaborate on the content, adding relevant details while staying faithful to the source text.",150,137,13,0,0.9133333333333333,0.9133333333333333
2hop__635544_110949,content,elaborate,0,2,"Elaborate on the content, adding relevant details while staying faithful to the source text.",132,118,14,0,0.8939393939393939,0.8939393939393939
2hop__635544_110949,content,elaborate,0,3,"Elaborate on the content, adding relevant details while staying faithful to the source text.",186,143,43,0,0.7688172043010753,0.7688172043010753
2hop__635544_110949,content,elaborate,1,1,"Expand the text with more context, without introducing information that is not supported by the original.",155,132,23,0,0.8516129032258064,0.8516129032258064
2hop__635544_110949,content,elaborate,1,2,"Expand the text with more context, without introducing information that is not supported by the original.",159,135,24,0,0.8490566037735849,0.8490566037735849
2hop__635544_110949,content,elaborate,1,3,"Expand the text with more context, without introducing information that is not supported by the original.",149,126,23,0,0.8456375838926175,0.8456375838926175
2hop__635544_110949,content,elaborate,2,1,"Add more detail, keeping every fact grounded in the source material.",150,131,19,0,0.8733333333333333,0.8733333333333333
2hop__635544_110949,content,elaborate,2,2,"Add more detail, keeping every fact grounded in the source material.",155,137,18,0,0.8838709677419355,0.8838709677419355
2hop__635544_110949,content,elaborate,2,3,"Add more detail, keeping every fact grounded in the source material.",148,131,17,0,0.8851351351351351,0.8851351351351351
2hop__635544_110949,content,shorten,0,1,Make wording more concise.,44,39,5,0,0.8863636363636364,0.8863636363636364
2hop__635544_110949,content,shorten,0,2,Make wording more concise.,22,16,6,0,0.7272727272727273,0.7272727272727273
2hop__635544_110949,content,shorten,0,3,Make wording more concise.,23,19,4,0,0.8260869565217391,0.8260869565217391
2hop__635544_110949,content,shorten,1,1,Rephrase for clarity and conciseness.,85,73,12,0,0.8588235294117647,0.8588235294117647
2hop__635544_110949,content,shorten,1,2,Rephrase for clarity and conciseness.,71,60,11,0,0.8450704225352113,0.8450704225352113
2hop__635544_110949,content,shorten,1,3,Rephrase for clarity and conciseness.,62,53,9,0,0.8548387096774194,0.8548387096774194
2hop__635544_110949,content,shorten,2,1,"Improve accuracy, clarity, and conciseness of language.",72,63,9,0,0.875,0.875
2hop__635544_110949,content,shorten,2,2,"Improve accuracy, clarity, and conciseness of language.",63,55,8,0,0.873015873015873,0.873015873015873
2hop__635544_110949,content,shorten,2,3,"Improve accuracy, clarity, and conciseness of language.",59,51,8,0,0.864406779661017,0.864406779661017
2hop__635544_110949,style,formality,0,1,Make the text more formal.,128,113,15,0,0.8828125,0.8828125
2hop__635544_110949,style,formality,0,2,Make the text more formal.,129,116,13,0,0.8992248062015504,0.8992248062015504
2hop__635544_110949,style,formality,0,3,Make the text more formal.,121,112,9,0,0.9256198347107438,0.9256198347107438
2hop__635544_110949,style,formality,1,1,Rephrase it to be more formal.,118,107,11,0,0.9067796610169492,0.9067796610169492
2hop__635544_110949,style,formality,1,2,Rephrase it to be more formal.,121,109,12,0,0.9008264462809917,0.9008264462809917
2hop__635544_110949,style,formality,1,3,Rephrase it to be more formal.,120,108,12,0,0.9,0.9
2hop__635544_110949,style,formality,2,1,"Too conversational, rephrase it to be more formal.",130,118,12,0,0.9076923076923077,0.9076923076923077
2hop__635544_110949,style,formality,2,2,"Too conversational, rephrase it to be more formal.",123,113,10,0,0.9186991869918699,0.9186991869918699
2hop__635544_110949,style,formality,2,3,"Too conversational, rephrase it to be more formal.",134,111,23,0,0.8283582089552238,0.8283582089552238
2hop__635544_110949,style,paraphrase,0,1,Paraphrase this.,119,104,15,0,0.8739495798319328,0.8739495798319328
2hop__635544_110949,style,paraphrase,0,2,Paraphrase this.,106,90,16,0,0.8490566037735849,0.8490566037735849
2hop__635544_110949,style,paraphrase,0,3,Paraphrase this.,106,92,14,0,0.8679245283018868,0.8679245283018868
2hop__635544_110949,style,paraphrase,1,1,Reword this text.,114,100,14,0,0.8771929824561403,0.8771929824561403
2hop__635544_110949,style,paraphrase,1,2,Reword this text.,95,81,14,0,0.8526315789473684,0.8526315789473684
2hop__635544_110949,style,paraphrase,1,3,Reword this text.,90,81,9,0,0.9,0.9
2hop__635544_110949,style,paraphrase,2,1,Use different wording.,121,108,13,0,0.8925619834710744,0.8925619834710744
2hop__635544_110949,style,paraphrase,2,2,Use different wording.,131,118,13,0,0.9007633587786259,0.9007633587786259
2hop__635544_110949,style,paraphrase,2,3,Use different wording.,134,116,18,0,0.8656716417910447,0.8656716417910447
